|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
17|418|75|20229167|Kota Depok|SMAN 5 KOTA DEPOK|Jawa Barat|533.388|625.35|407.56|441.|SMA
18|419|62|20523847|Kab. Jember|SMAN 2 JEMBER|Jawa Timur|533.29|627.103|418.16|364.5|SMA
19|420|5|11000360|Kota Batam|SMAN 1 BATAM|Kepulauan Riau|533.265|646.208|391.625|474.|SMA
20|421|76|20227474|Kab. Garut|SMAN 1 GARUT|Jawa Barat|533.255|644.03|428.035|448.9|SMA
21|422|36|20411891|Kab. Sleman|MAN 3 SLEMAN|DI Yogyakarta|533.24|622.52|413.1|360.7|MA
22|423|73|20103281|Kota Jakarta Timur|SMAN 31 JAKARTA|DKI Jakarta|533.233|619.18|416.673|382.3|SMA
23|424|77|20206209|Kab. Bandung|SMAN 1 MARGAHAYU|Jawa Barat|533.187|633.625|443.128|400.9|SMA
24|425|73|20310421|Kab. Sukoharjo|SMAN 3 SUKOHARJO|Jawa Tengah|532.937|643.87|445.823|330.4|SMA
25|426|6|50103127|Kota Denpasar|SMAN 1 DENPASAR|Bali|532.93|655.725|414.238|494.2|SMA
26|427|7|50102779|Kab. Karang Asem|SMAN 2 AMLAPURA|Bali|532.92|649.685|422.458|463.1|SMA
27|428|78|20253167|Kota Bekasi|SMAS ISLAM AL-AZHAR 4|Jawa Barat|532.884|627.59|396.143|420.1|SMA
28|429|74|20327972|Kota Surakarta|SMAN 7 SURAKARTA|Jawa Tengah|532.841|644.51|436.268|354.9|SMA
29|430|79|20220334|Kota Bogor|SMAN 4 BOGOR|Jawa Barat|532.84|649.405|423.455|414.3|SMA
30|431|3|30401809|Kota Bontang|SMAS YAYASAN PUPUK KALTIM BONTANG|Kalimantan Timur|532.747|642.613|424.293|447.6|SMA
31|432|75|20309684|Kab. Klaten|SMAN 1 CAWAS|Jawa Tengah|532.727|633.76|412.005|362.|SMA
32|433|30|20603347|Kota Tangerang Selatan|SMAS KATOLIK RICCI II|Banten|532.699|623.548|419.495|458.3|SMA
33|434|76|20320392|Kab. Semarang|SMA SEDES SAPIENTIAE JAMBU|Jawa Tengah|532.582|612.505|463.713|325.8|SMA
34|435|1|60102022|Kota Ambon|SMAS KRISTEN REHOBOTH|Maluku|532.499|643.748|455.74|435.5|SMA
35|436|11|10259956|Kota Medan|SMAS PRIMEONE SCHOOL|Sumatera Utara|532.4|603.92|430.215|532.5|SMA
36|437|37|20409801|Kab. Sleman|SMA BUDI MULIA DUA|DI Yogyakarta|532.332|646.458|452.418|403.|SMA
37|438|31|20603328|Kota Tangerang Selatan|SMAS KATOLIK MATER DEI|Banten|532.291|610.273|439.393|443.9|SMA
38|439|1|69955659|Kab. Bangka Tengah|MAN INSAN CENDEKIA BANGKA TENGAH|Kepulauan Bangka Belitung|532.268|603.995|476.19|290.2|MA
39|440|4|30401490|Kota Balikpapan|SMAN 2 BALIKPAPAN UTARA|Kalimantan Timur|532.244|636.79|440.433|405.9|SMA
40|441|80|69816259|Kota Depok|SMA IBNU HAJAR BOARDING SCHOOL|Jawa Barat|532.243|656.743|425.543|425.1|SMA
41|442|81|69986335|Kota Bogor|SMA IT AT TAUFIQ|Jawa Barat|532.23|618.17|466.953|362.8|SMA
