|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
3|904|7|30101943|Kab. Sanggau|SMAN 1 SANGGAU|Kalimantan Barat|513.092|644.778|416.213|412.3|SMA
4|905|18|10403425|Kab. Siak|SMAN 1 TUALANG|Riau|513.026|638.783|416.933|425.4|SMA
5|906|171|20328460|Kota Salatiga|SMKN 2 SALATIGA|Jawa Tengah|513.014|592.225|442.138|321.2|SMK
6|907|9|40307392|Kota Makassar|SMAN 5 MAKASSAR|Sulawesi Selatan|512.963|622.178|381.173|454.2|SMA
7|908|4|10700669|Kab. Rejang Lebong|SMAN 1 REJANG LEBONG|Bengkulu|512.95|634.673|393.855|441.1|SMA
8|909|172|20330335|Kab. Kebumen|SMKN 2 KEBUMEN|Jawa Tengah|512.941|603.063|404.583|366.2|SMK
9|910|167|20280328|Kab. Garut|MAS PERSIS TAROGONG|Jawa Barat|512.935|627.508|423.753|386.5|MA
10|911|47|20623275|Kota Serang|MAN 2 KOTA SERANG|Banten|512.904|632.703|410.258|445.3|MA
11|912|129|20103280|Kota Jakarta Timur|SMAN 36 JAKARTA|DKI Jakarta|512.892|615.363|424.373|351.6|SMA
12|913|134|20523826|Kab. Jember|SMAN 4 JEMBER|Jawa Timur|512.844|609.113|426.758|389.|SMA
13|914|168|20200601|Kab. Bogor|SMAN 1 LEUWILIANG|Jawa Barat|512.835|635.268|414.213|385.5|SMA
14|915|15|30401059|Kota Samarinda|SMA Negeri 2 Samarinda|Kalimantan Timur|512.818|599.465|421.36|360.3|SMA
15|916|10|10609706|Kota Palembang|SMA XAVERIUS 03 PALEMBANG|Sumatera Selatan|512.778|630.023|424.235|441.|SMA
16|917|169|20208419|Kab. Sumedang|SMAN 1 SUMEDANG|Jawa Barat|512.765|649.923|401.33|448.3|SMA
17|918|130|20100779|Kota Jakarta Utara|SMAN 75 JAKARTA|DKI Jakarta|512.751|602.198|403.868|345.2|SMA
18|919|170|20206208|Kab. Bandung Barat|SMAN 1 PADALARANG|Jawa Barat|512.75|616.825|438.745|360.9|SMA
19|920|48|69893966|Kota Tangerang Selatan|SMA GLOBAL ISLAMIC SCHOOL 2|Banten|512.728|592.52|415.518|395.1|SMA
20|921|171|20251793|Kab. Bandung|SMAN 1 CILEUNYI|Jawa Barat|512.707|635.233|424.678|401.2|SMA
21|922|26|10303504|Kota Padang|SMAN 7 PADANG|Sumatera Barat|512.659|621.633|415.918|373.4|SMA
22|923|49|20603164|Kab. Tangerang|SMAS DAAR EL QOLAM|Banten|512.656|601.02|437.78|341.9|SMA
23|924|173|20325258|Kab. Tegal|SMKN 1 SLAWI|Jawa Tengah|512.631|609.783|420.098|325.|SMK
24|925|20|10219919|Kab. Deli Serdang|SMAS HARAPAN 3 DELI TUA|Sumatera Utara|512.529|622.875|422.798|449.8|SMA
25|926|172|20223068|Kota Bekasi|SMAS PANGUDI LUHUR II|Jawa Barat|512.519|599.315|426.533|373.4|SMA
26|927|135|20584790|Kab. Tulungagung|MAN 2 TULUNGAGUNG|Jawa Timur|512.502|624.043|422.233|384.2|MA
27|928|19|10497348|Kota Pekanbaru|SMK KEHUTANAN NEGERI PEKANBARU|Riau|512.496|583.49|421.938|354.4|SMK
28|929|173|20219237|Kota Bandung|SMAN 16 BANDUNG|Jawa Barat|512.495|661.278|407.728|354.4|SMA
29|930|136|20541242|Kab. Bojonegoro|SMAN 1 SUMBERREJO|Jawa Timur|512.366|589.895|427.943|361.9|SMA
30|931|50|69859757|Kota Tangerang Selatan|SMA INSAN RABBANY|Banten|512.282|616.75|436.49|485.5|SMA
31|932|77|20402089|Kab. Gunung Kidul|SMKN 2 WONOSARI|DI Yogyakarta|512.275|610.61|441.955|325.5|SMK
32|933|174|20338920|Kab. Pekalongan|SMK NEGERI 1 SRAGI|Jawa Tengah|512.203|581.555|442.743|345.1|SMK
33|934|137|60726350|Kab. Bojonegoro|SMAS PLUS AL FATIMAH|Jawa Timur|512.183|596.9|428.35|391.8|SMA
34|935|131|20177927|Kota Jakarta Selatan|MAN 7 JAKARTA|DKI Jakarta|512.152|619.593|409.573|386.7|MA
35|936|138|20519328|Kab. Pasuruan|SMAS AL - MA HADUL ISLAMI BEJI|Jawa Timur|512.148|601.933|435.018|411.6|SMA
36|937|11|10603865|Kota Palembang|SMA NEGERI 01 PALEMBANG|Sumatera Selatan|512.142|640.025|409.723|466.6|SMA
37|938|51|20606271|Kota Cilegon|SMAN 2 KRAKATAU STEEL CILEGON|Banten|512.137|644.178|402.665|405.9|SMA
38|939|139|20520821|Kab. Lumajang|SMAN 1 LUMAJANG|Jawa Timur|512.111|613.408|426.74|358.5|SMA
39|940|140|20584211|Kab. Malang|MAN 1 MALANG|Jawa Timur|512.099|596.553|428.233|358.6|MA
40|941|175|20362426|Kab. Sukoharjo|SMAS ISLAM AL-AZHAR SOLO BARU|Jawa Tengah|512.056|624.58|435.538|354.8|SMA
41|942|174|20276187|Kota Depok|SMAN 9 DEPOK|Jawa Barat|512.043|607.253|395.798|405.2|SMA
42|943|132|20103282|Kota Jakarta Timur|SMAN 22 JAKARTA|DKI Jakarta|512.024|586.56|428.453|317.5|SMA
43|944|27|10307616|Kota Padang|SMKN ANALIS KIMIA PADANG|Sumatera Barat|512.021|572.14|460.203|292.9|SMK
44|945|176|20330346|Kota Surakarta|SMAS AL ISLAM 1 SURAKARTA|Jawa Tengah|511.95|622.625|410.48|421.5|SMA
45|946|175|69954194|Kab. Bekasi|SMA ISLAM AL - AZHAR 18 GRAND WISATA|Jawa Barat|511.945|632.51|435.163|378.4|SMA
46|947|177|20312189|Kab. Karanganyar|SMAN 2 KARANGANYAR|Jawa Tengah|511.899|592.083|433.385|296.9|SMA
47|948|178|20314864|Kab. Blora|SMKN 2 BLORA|Jawa Tengah|511.884|593.898|450.04|344.5|SMK
48|949|141|20580038|Kota Batu|MAN KOTA BATU|Jawa Timur|511.811|610.293|412.885|364.3|MA
49|950|133|20102565|Kota Jakarta Selatan|SMAN 86 JAKARTA|DKI Jakarta|511.799|607.635|433.058|339.8|SMA
50|951|179|20308441|Kab. Boyolali|SMAN 1 TERAS|Jawa Tengah|511.794|594.135|431.065|346.1|SMA
51|952|142|20537011|Kab. Gresik|SMAN 1 KEBOMAS|Jawa Timur|511.771|616.773|393.993|379.|SMA
52|953|143|20538321|Kab. Nganjuk|SMAN 1 NGANJUK|Jawa Timur|511.765|634.04|427.835|348.8|SMA
53|954|176|20280140|Kab. Bogor|MAS DARUL MARHAMAH|Jawa Barat|511.728|587.765|430.11|422.8|MA
54|955|5|10102744|Kab. Aceh Selatan|SMAN UNGGUL TAPAKTUAN|Aceh|511.721|600.128|449.525|352.3|SMA
55|956|10|40306507|Kab. Toraja Utara|SMAS KRISTEN BARANA|Sulawesi Selatan|511.706|657.813|394.585|487.4|SMA
56|957|20|10401526|Kab. Indragiri Hulu|SMAN 1 RENGAT|Riau|511.62|621.7|431.513|438.2|SMA
57|958|134|20107589|Kota Jakarta Timur|SMAS GLOBAL ISLAMIC SCHOOL|DKI Jakarta|511.54|589.92|435.435|382.5|SMA
58|959|8|30105462|Kota Singkawang|SMAS SANTO IGNASIUS SINGKAWANG|Kalimantan Barat|511.502|616.783|420.443|475.|SMA
59|960|180|20364919|Kab. Banyumas|MAS WATHONIYAH ISLAMIYAH KEBARONGAN|Jawa Tengah|511.502|603.335|411.433|356.5|MA
60|961|78|20401129|Kab. Sleman|SMAN 1 NGAGLIK|DI Yogyakarta|511.438|573.983|454.788|263.8|SMA
61|962|135|20101499|Kota Jakarta Barat|SMKN 45 JAKARTA|DKI Jakarta|511.424|585.678|435.113|320.9|SMK
62|963|144|20532238|Kota Surabaya|SMAN 14 SURABAYA|Jawa Timur|511.367|600.358|425.08|331.2|SMA
63|964|177|20227827|Kab. Bandung|SMA TERPADU BAITURRAHMAN|Jawa Barat|511.31|605.77|436.6|338.1|SMA
64|965|10|10801972|Kab. Lampung Tengah|SMAS SUGAR GROUP B MATARAM|Lampung|511.307|627.755|428.26|430.5|SMA
65|966|5|50201391|Kab. Lombok Tengah|SMAN 1 PRAYA|Nusa Tenggara Barat|511.293|632.583|409.418|389.2|SMA
66|967|136|20102579|Kota Jakarta Selatan|SMKN 6 JAKARTA|DKI Jakarta|511.28|614.578|430.853|326.6|SMK
67|968|145|20525600|Kab. Banyuwangi|SMAN 2 GENTENG|Jawa Timur|511.254|595.483|408.715|375.1|SMA
68|969|178|20219233|Kota Bandung|SMAN 26 BANDUNG|Jawa Barat|511.228|620.418|422.07|411.9|SMA
69|970|137|20102215|Kota Jakarta Selatan|SMAN 32 JAKARTA|DKI Jakarta|511.222|634.315|413.548|348.|SMA
70|971|11|30300697|Kab. Tanah Laut|SMAN 1 PELAIHARI|Kalimantan Selatan|511.222|591.673|427.498|348.4|SMA
71|972|179|69857938|Kota Depok|SMAN 12 KOTA DEPOK|Jawa Barat|511.219|618.803|368.718|387.6|SMA
72|973|146|20537286|Kab. Tulungagung|SMKN 1 BOYOLANGU|Jawa Timur|511.218|618.44|418.45|373.8|SMK
73|974|181|20323503|Kab. Pekalongan|SMA NEGERI 1 WIRADESA|Jawa Tengah|511.194|607.5|396.715|427.1|SMA
74|975|138|69977033|Kota Jakarta Timur|SMA Islam Al Azhar 19|DKI Jakarta|511.135|603.47|427.203|442.7|SMA
75|976|182|20321835|Kab. Kendal|SMAN 1 SUKOREJO|Jawa Tengah|511.107|618.938|433.595|354.8|SMA
76|977|79|20400375|Kab. Bantul|SMA NEGERI 1 PLERET|DI Yogyakarta|511.081|591.375|444.258|273.6|SMA
77|978|180|69830492|Kota Bekasi|SMA SULTHON AULIA BOARDING SCHOOL|Jawa Barat|511.075|614.733|422.498|385.4|SMA
78|979|183|20339018|Kab. Pati|SMA NEGERI 1 JAKENAN|Jawa Tengah|511.031|637.838|439.213|366.9|SMA
79|980|184|20315660|Kab. Rembang|SMK NEGERI 1 REMBANG|Jawa Tengah|511.01|579.325|443.058|330.5|SMK
80|981|147|20554539|Kota Malang|SMAS BRAWIJAYA SMART SCHOOL|Jawa Timur|510.989|626.183|432.905|408.|SMA
81|982|148|20532211|Kota Surabaya|SMKN 5 SURABAYA|Jawa Timur|510.942|615.405|438.295|340.3|SMK
82|983|139|20103791|Kota Jakarta Timur|SMKN 10 JAKARTA|DKI Jakarta|510.922|610.568|444.038|344.4|SMK
83|984|185|20321974|Kab. Kendal|SMAN 1 BOJA|Jawa Tengah|510.873|608.013|414.56|348.9|SMA
84|985|186|20327971|Kota Surakarta|SMAN 6 SURAKARTA|Jawa Tengah|510.856|603.275|393.62|331.4|SMA
85|986|140|20103313|Kota Jakarta Timur|SMAN 50 JAKARTA|DKI Jakarta|510.856|583.073|428.385|313.1|SMA
86|987|11|40311889|Kota Makassar|SMAN 2 MAKASSAR|Sulawesi Selatan|510.826|626.8|413.2|428.2|SMA
87|988|149|20533610|Kota Malang|SMAS LABORATORIUM UM|Jawa Timur|510.71|614.638|416.518|354.9|SMA
88|989|80|20411874|Kab. Bantul|SMA ALI MAKSUM|DI Yogyakarta|510.666|586.083|416.52|389.8|SMA
89|990|187|20311332|Kab. Wonogiri|SMAN 1 WURYANTORO|Jawa Tengah|510.625|628.033|419.43|376.2|SMA
90|991|150|20527237|Kab. Pamekasan|SMAN 3 PAMEKASAN|Jawa Timur|510.62|632.448|412.173|431.7|SMA
91|992|21|10498808|Kota Pekanbaru|MAN 1 PEKANBARU|Riau|510.618|632.508|416.953|406.6|MA
92|993|141|20107305|Kota Jakarta Selatan|SMA ISLAM AL-AZHAR 2 JAKARTA|DKI Jakarta|510.589|616.92|427.798|362.6|SMA
93|994|12|30315148|Kab. Tapin|MAN 1 TAPIN|Kalimantan Selatan|510.575|586.553|426.458|459.8|MA
94|995|21|10210743|Kota Medan|SMAS KRISTEN KALAM KUDUS|Sumatera Utara|510.536|591.185|418.87|419.5|SMA
95|996|21|50105600|Kab. Jembrana|MAN 1 JEMBRANA|Bali|510.532|621.463|413.753|409.8|MA
96|997|151|20542523|Kab. Trenggalek|SMK NEGERI 1 POGALAN|Jawa Timur|510.524|631.823|437.518|336.6|SMK
97|998|181|20220337|Kota Bogor|SMAN 8 BOGOR|Jawa Barat|510.518|625.903|415.855|389.4|SMA
98|999|182|20238003|Kab. Bekasi|SMAS AL - MUSLIM|Jawa Barat|510.514|626.9|399.533|469.9|SMA
99|1000|52|20606846|Kota Tangerang|SMAN 4 TANGERANG|Banten|510.509|633.125|428.955|383.9|SMA
